Title,Text,Link,Date,Tickers_found,Direction of STI Movement,Percentage of STI Movement
Market update: STI up 2.01%,"HongKong Land was seen with the most growth.The Straits Time Index closed at 0.1% up, at  3,314.90 on 3 February.Leading companies at the market’s close are Hongkong Land USD at 5.56%, CapitaLand Integrated Commercial Trust at 4.12%, and UOB at 3.47%.Seen at the bottom was Mapletree Industrial Trust at 0.4% down.",https://sbr.com.sg/stocks/news/market-update-sti-201,2022-02-03T17:17:28+0800,"{'9CI': 'CapitaLandInvest', 'H30': 'Hong Fok', 'KUO': 'Intl Cement', 'ME8U': 'Mapletree Ind Tr', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306'}",Positive,2.01%
Market update: STI up 0.1%,"Genting Singapore was seen with the most growth.The Straits Time Index closed at 0.1% up, at 3,249.59 on 31 January.Leading companies at the market’s close are Genting Singapore at 2.08%, ST Engineering at 1.91%, and SATS at 1.56%.Seen at the bottom were Jardine Matheson Holdings at 1.74% down, Ascendas REIT at 1.43% down, and CapitaLandIvest at 1.43% down.",https://sbr.com.sg/stocks/news/market-update-sti-0-1,2022-02-02T06:00:00+0800,"{'A17U': 'Ascendas Reit', '9CI': 'CapitaLandInvest', 'DUBW': 'Genting 5xLongSG230420', 'DQOW': 'Genting 5xShortSG220328', 'DQGW': 'Genting 5xShortSG240306', 'G13': 'Genting Sing', 'C07': 'Jardine C&C', 'J36': 'JMH USD', 'S58': 'SATS', 'S63': 'ST Engineering', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF'}",Positive,0.1%
Novo Tellus SPAC completes IPO of 10m units,"The offer price is $5 per share.Special purpose acquisition company Novo Tellus Alpha Acquisition (NTAA) completed its initial public offering (IPO) of 10,000,000 units, drawing strong demand from both institutional and retail investors.The offering comprises an international placement of 9,500,000 units to investors, including institutional and other investors in Singapore that are non-U.S. persons located outside the United States and 500,000 offering units by way of a public offer in Singapore. The offering price for each unit is $5, comprising one Class A ordinary share.Novo Tellus PE Fund 2, the NTAA sponsor, said it is strongly committed to NTAA and has invested $20m of its funds in NTAA. This represents more than 10% of the total number of units and exceeds the 3.5% minimum equity participation requirement prescribed by the Listing Manual of the SGX-ST.Gross proceeds worth $150m from the offering, as well as the issue and sale of the Cornerstone units and the Sponsor IPO Investment units, will be placed in an escrow account to ensure that investors' funds are directed towards the completion of NTAA's business combination.",https://sbr.com.sg/stocks/news/novo-tellus-spac-completes-ipo-10m-units,2022-01-31T13:38:58+0800,"{'F13': 'Fu Yu', 'M04': 'Man Oriental USD', '1G6': 'No Signboard', 'NTA': 'Novo Tellus SPAC', 'NTSW': 'Novo Tellus SPAC W291231', 'S68': 'SGX', 'DGRW': 'SGX 5xLongSG220630', 'DGSW': 'SGX 5xShortSG220630', 'DYKW': 'SGX 5xShortSG230420', 'S63': 'ST Engineering', 'PA3': 'TA', 'CGOW': 'TA W220520', '500': 'Tai Sin Electric'}",,
Market update: STI down 0.38%,"Sembcorp Industries was seen with the most growth.The Straits Time Index closed at 0.38% down, at 3,258.99 on 27 January.Leading companies at the market’s close are Sembcorp Industries at 1.35%, Jardine Cycle & Carriage at 0.74%, and Mapletree Commercial Trust at 0.54%.Seen at the bottom were DairyFarm at 4.93% down, Frasers Logistics & Commercial Trust at 3.47% down and Genting Singapore at 3.33% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-038-0,2022-01-27T17:21:54+0800,"{'D01': 'DairyFarm USD', '5TJ': 'Far East', 'ACV': 'Frasers HTrust', 'TQ5': 'Frasers Property', 'DUBW': 'Genting 5xLongSG230420', 'DQOW': 'Genting 5xShortSG220328', 'DQGW': 'Genting 5xShortSG240306', 'G13': 'Genting Sing', 'C07': 'Jardine C&C', 'N2IU': 'Mapletree Com Tr', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF'}",Negative,0.38%
Market update: STI up 0.79%,"Wilmar International had the most growth.The Straits Time Index closed at 0.79%  down at 3,273.27 on 26 January.Companies at the top include Wilmar International at 2.4%, Yangzijiang Shipbuilding at 2.38%, and UOL at 1.81%.Seen at the bottom were CapitaLand Integrated Commercial Trust at 1% down, ThaiBev at 0.77% down, and DairyFarm at 0.7% down.",https://sbr.com.sg/stocks/news/market-update-sti-079,2022-01-27T05:00:00+0800,"{'9CI': 'CapitaLandInvest', 'D01': 'DairyFarm USD', '5TJ': 'Far East', 'KUO': 'Intl Cement', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115', 'U14': 'UOL', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Positive,0.79%
Market update: STI down 1.32%,"Jardine Matheson had the most growth.The Straits Time Index closed at 1.32% down at 3,230.97 on 22 January.The top performer is Jardine Matheson Holdings at 0.84%.Seen at the bottom were Yangzijiang Shipbuilding at 4.55% down, Keppel DC Reit at 2.67% down, and Genting Singapore at 2.63% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-132,2022-01-26T05:00:00+0800,"{'DUBW': 'Genting 5xLongSG230420', 'DQOW': 'Genting 5xShortSG220328', 'DQGW': 'Genting 5xShortSG240306', 'G13': 'Genting Sing', 'C07': 'Jardine C&C', 'J36': 'JMH USD', 'BN4': 'Keppel Corp', 'AJBU': 'Keppel DC Reit', 'K71U': 'Keppel Reit', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Negative,1.32%
Olam places $275m notes in US,"Proceeds from the issue will be used for general corporate purposes.Olam International announced on 25 January that its wholly-owned subsidiary, Olam Americas Inc. (OAI), priced an issuance of five- and seven-year fixed-rate notes via a private placement.The issuance comprised $268.70m (US$200m) of five-year fixed-rate notes at a coupon of 3.05% and $100.76m (US$75m) of seven-year fixed-rate notes at a coupon of 3.25%. The $369.46m (US$275m) transaction is expected to close on 16 February.Proceeds from the issue of the notes will be used by OAI and its US affiliates for general corporate purposes.ING Financial Markets acted as the sole placement agent for the transaction.(US$1 = SG$1.34)",https://sbr.com.sg/stocks/news/olam-places-275m-notes-in-us,2022-01-25T10:40:58+0800,"{'KUO': 'Intl Cement', 'VC2': 'Olam Group', 'O32': 'Olam Intl'}",,
Market update: STI down 0.34%,"Keppel Corp had the most growth.The Straits Time Index closed at 0.34% down at 3,283.51 on 21 January.Companies at the top include Singtel at 0.4% up, Keppel Corporation at 0.37%, and HongKongLand at 0.37%.Seen at the bottom were Genting Singapore at 1.94% down, Wilmar International at 1.84% down, and ComfortDelGro at 1.45% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-034,2022-01-25T05:00:00+0800,"{'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'FQJW': 'ComfortDel MBeCW220315', '9A3W': 'ComfortDel MBeCW221014', 'C52': 'ComfortDelGro', 'DUBW': 'Genting 5xLongSG230420', 'DQOW': 'Genting 5xShortSG220328', 'DQGW': 'Genting 5xShortSG240306', 'G13': 'Genting Sing', 'H30': 'Hong Fok', 'KUO': 'Intl Cement', 'BN4': 'Keppel Corp', 'K71U': 'Keppel Reit', 'Z74': 'Singtel', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl'}",Negative,0.34%
UOB Kay Hian lists H1 2022 'overweight' sectors and stocks,"The top two sectors were consumer and financials.UOB Kay Hian (UOBKH) released its analyst views from the first half of 2022 (H1) 2022 Analyst Week webinars on 20 January.One of the highlights of the webinars is the discussion of the sector and stock weightings in the Straits Times Index.According to UOBKH, the 'overweight' or strong sectors and stocks included consumers, financials, land transport, property, REITs, shipyards and industrials, and technology.Meanwhile, those in the market weight were aviation, gaming, healthcare, plantations, and telecommunications.Overall, UOBKH forecasted earnings per share growth for most sectors posted above at 29% in 2022.",https://sbr.com.sg/stocks/in-focus/uob-kay-hian-lists-h1-2022-overweight-sectors-and-stocks,2022-01-25T05:00:00+0800,"{'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'U10': 'UOB Kay Hian', 'E3B': 'Wee Hur'}",,
Market update: STI down 0.05%,"Keppel Corp had the most growth.The Straits Time Index closed at 0.05% down at 3,293.29 on 21 January.Companies at the top include Keppel Corporation at 1.32%, SATS at 1.27%, and SIA at 1.19%.Seen at the bottom were Yangzijiang Shipbuilding at 1.49% down, DBS at 1.22% down, and Jardine Cycle & Carriage at 0.87% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-005-0,2022-01-24T05:00:00+0800,"{'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'C07': 'Jardine C&C', 'BN4': 'Keppel Corp', 'K71U': 'Keppel Reit', 'S58': 'SATS', 'C6L': 'SIA', 'DSIW': 'SIA 5xLongSG220630', 'DKKW': 'SIA 5xLongSG230420', 'DTGW': 'SIA 5xLongSG230713', 'DHJW': 'SIA 5xShortSG220328', 'DRBW': 'SIA 5xShortSG240306', 'S59': 'SIA Engineering', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Negative,0.05%
Market update: STI Up 0.27%,"ThaiBev had the most growth.The Straits Time Index closed at 0.27% up at 3,278.75 on 20 January 20.Companies at the top include ThaiBev at 2.34% up, Yangzijiang Shipbuilding at 1.52% up, and UOB at 1.37% up.Seen at the bottom were HongKongLand at 0.91% down, CapitaLandInvest at 0.82% down, and ComfortDelGro at 0.73% down.",https://sbr.com.sg/stocks/news/market-update-sti-027,2022-01-21T05:00:00+0800,"{'9CI': 'CapitaLandInvest', 'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'FQJW': 'ComfortDel MBeCW220315', '9A3W': 'ComfortDel MBeCW221014', 'C52': 'ComfortDelGro', 'H30': 'Hong Fok', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Positive,0.27%
Market update: STI down 0.04%,"Sembcorp Industries had the most growth.The Straits Time Index closed at 0.04% down at 3,278.75 on 19 January.Companies at the top include Sembcorp Industries at 3.29%, CapitaLand Investment at 1.94%, and DairyFarm at 1.4%.Seen at the bottom were Jardine Matheson Holdings at 0.98% down, Frasers Logistics & Commercial Trust at 0.69%, and SATS at 0.5% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-004,2022-01-20T05:00:00+0800,"{'9CI': 'CapitaLandInvest', 'D01': 'DairyFarm USD', '5TJ': 'Far East', 'ACV': 'Frasers HTrust', 'TQ5': 'Frasers Property', 'C07': 'Jardine C&C', 'J36': 'JMH USD', 'S58': 'SATS', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF'}",Negative,0.04%
Market update: STI down 0.37%,"DairyFarm had the most growth.The Straits Time Index closed at 0.37% down at 3,275.69 on 18 January.Companies at the top include DairyFarm at 1.06%, UOL at 0.84%, and HongKongLand at 0.74%.Seen at the bottom were Yangzijiang Shipbuilding at 2.24% down, SATS at 1.73% down, and ComfortDelGro at 1.44% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-037-0,2022-01-19T05:00:00+0800,"{'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'FQJW': 'ComfortDel MBeCW220315', '9A3W': 'ComfortDel MBeCW221014', 'C52': 'ComfortDelGro', 'D01': 'DairyFarm USD', '5TJ': 'Far East', 'H30': 'Hong Fok', 'S58': 'SATS', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U14': 'UOL', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Negative,0.37%
Market update: STI up 0.17%,"SATS had the most growth.The Straits Time Index closed at 0.17% up at 3,287.57 on 17 January.Companies at the top include SATS at 2.79%, ComfortDelGro at 2.21% and DairyFarm USD at 2.21%, and Singtel at 1.81%.Seen at the bottom were ThaiBev at 1.54% down, Wilmar International at 1.17% down, and CapitaLand Integrated Commercial Trust at 1% down.",https://sbr.com.sg/stocks/news/market-update-sti-017-1,2022-01-18T05:00:00+0800,"{'9CI': 'CapitaLandInvest', 'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'FQJW': 'ComfortDel MBeCW220315', '9A3W': 'ComfortDel MBeCW221014', 'C52': 'ComfortDelGro', 'D01': 'DairyFarm USD', '5TJ': 'Far East', 'KUO': 'Intl Cement', 'S58': 'SATS', 'Z74': 'Singtel', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl'}",Positive,0.17%
Market update: STI up 0.71%,"UOB had the most growth.The Straits Time Index closed at 0.71% up at 3,280.46 on 14 January.Companies at the top include UOB at 2.57%, Singtel at 1.66%, and Keppel Corporation at 1.55%.Seen at the bottom were DairyFarm at 3.15% down, Yangzijiang Shipbuilding at 2.22% down and Mapletree Commercial Trust at 2.22% down.",https://sbr.com.sg/stocks/news/market-update-sti-071,2022-01-17T05:00:00+0800,"{'D01': 'DairyFarm USD', '5TJ': 'Far East', 'BN4': 'Keppel Corp', 'K71U': 'Keppel Reit', 'N2IU': 'Mapletree Com Tr', 'Z74': 'Singtel', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Positive,0.71%
Market update: STI up 0.14%,"Mapletree Logistics Trust had the most growth.The Straits Time Index closed at 0.14% up at 3,259.43 on 13 January.Companies at the top include Mapletree Logistics Trust at  2.87%, CapitaLand Integrated Commercial Trust at 2.01% up, and Mapletree Industrial Trust at 1.93% up.Seen at the bottom were DairyFarm USD at 1.38% down, UOB at 0.88% down, and Singtel at 0.82% down.",https://sbr.com.sg/stocks/news/market-update-sti-014-0,2022-01-14T05:00:00+0800,"{'9CI': 'CapitaLandInvest', 'D01': 'DairyFarm USD', '5TJ': 'Far East', 'KUO': 'Intl Cement', 'ME8U': 'Mapletree Ind Tr', 'M44U': 'Mapletree Log Tr', 'Z74': 'Singtel', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306'}",Positive,0.14%
Market update: STI up 0.17%,"Keppel Corporation had the most growth.The Straits Time Index closed at 0.62% up at 3,251.90 on 12 January.Companies at the top include Keppel Corporation at 2.37%, Yangzijiang Shipbuilding at 2.26%, and ComfortDelGro at 2.22%.Seen at the bottom were SATS at 1.76% down, ThaiBev at 1.52% down, and CapitaLandInvest at 1.38% down.",https://sbr.com.sg/stocks/news/market-update-sti-017-0,2022-01-13T05:00:00+0800,"{'9CI': 'CapitaLandInvest', 'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'FQJW': 'ComfortDel MBeCW220315', '9A3W': 'ComfortDel MBeCW221014', 'C52': 'ComfortDelGro', 'BN4': 'Keppel Corp', 'K71U': 'Keppel Reit', 'S58': 'SATS', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Positive,0.17%
Market update: STI up 0.62%,"Singtel had the most growth.The Straits Time Index closed at 0.62% up at 3,247.07 on 11 January.Companies at the top include Singtel at 3.86%, SATS at 2.05%, and CapitaLandInvest at 1.69%.Seen at the bottom were MapleTree Logistics Trust at 1.69% down, Venture at 0.89% down, and Keppel DC REIT at 0.86% down.",https://sbr.com.sg/stocks/news/market-update-sti-062-0,2022-01-12T05:00:00+0800,"{'9CI': 'CapitaLandInvest', 'BN4': 'Keppel Corp', 'AJBU': 'Keppel DC Reit', 'K71U': 'Keppel Reit', 'S58': 'SATS', 'Z74': 'Singtel', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'V03': 'Venture', 'DBHW': 'Venture 5xLongSG230713', 'DABW': 'Venture 5xShortSG220422', 'DVCW': 'Venture 5xShortSG230920'}",Positive,0.62%
Market update: STI up 0.67%,"UOB had the most growth.The Straits Time Index closed at 0.67% up at 3,226.76 on 10 January.Companies at the top include UOB at 3.08%, DBS at 2.04%, and OCBC Bank at 1.85%.Seen at the bottom were Frasers Logistics & Commercial Trust at 2,69% down, Mapletree Logistics Trust at 2.20% down, and CapitaLand IntCom Trust at 1.98% down.",https://sbr.com.sg/stocks/news/market-update-sti-067,2022-01-11T05:00:00+0800,"{'B26': 'Ban Leong', '9CI': 'CapitaLandInvest', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'ACV': 'Frasers HTrust', 'TQ5': 'Frasers Property', 'KUO': 'Intl Cement', 'M44U': 'Mapletree Log Tr', 'DMUW': 'OCBC 5xLongSG221201', 'DFJW': 'OCBC 5xShortSG221201', 'O39': 'OCBC Bank', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306'}",Positive,0.67%
